"scientificName","coordinateUncertaintyInMeters","publishingCountry","stateProvince","year","references","gbifID","Species_name","Latitude_WGS84","Longitude_WGS84","FID_1","Id","Long_m","Lat_m"
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130401130",3902197131,"Western toad",49.980995,-117.009269,0,0,-1416018.78276978,1335411.5569303
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130452312",3892693774,"Western toad",48.66338,-123.686858,0,0,-1899417.01721799,1302313.0878861
"Anaxyrus boreas (Baird & Girard, 1852)",65,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130584818",3892645855,"Western toad",49.188433,-124.117734,0,0,-1910055.8348573,1370090.79444545
"Anaxyrus boreas (Baird & Girard, 1852)",17,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130856252",3902126071,"Western toad",53.888367,-122.829017,0,0,-1671555.76890685,1872064.2066508
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130886521",3902214964,"Western toad",49.784703,-123.108833,0,0,-1823667.74883864,1417349.09402221
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130887055",3902123294,"Western toad",49.786872,-123.109275,0,0,-1823624.80669499,1417602.00238287
"Anaxyrus boreas (Baird & Girard, 1852)",914,"US","British Columbia",2022,"https://www.inaturalist.org/observations/130888186",3892442088,"Western toad",49.82247,-119.38927,0,0,-1577878.60403061,1354888.28957054
"Anaxyrus boreas (Baird & Girard, 1852)",268,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130897525",3902853249,"Western toad",52.272349,-120.206529,0,0,-1559392.23543213,1646214.01935096
"Anaxyrus boreas (Baird & Girard, 1852)",6,"US","British Columbia",2022,"https://www.inaturalist.org/observations/131043295",3902271120,"Western toad",54.208047,-129.952163,0,0,-2085342.44069145,2048439.82634458
"Anaxyrus boreas (Baird & Girard, 1852)",48,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131115759",3902861070,"Western toad",55.96032,-120.564788,0,0,-1472578.78107095,2064762.32723956
"Anaxyrus boreas (Baird & Girard, 1852)",4,"US","British Columbia",2022,"https://www.inaturalist.org/observations/131165049",3903035340,"Western toad",49.153085,-119.295702,0,0,-1590832.53168359,1277027.06704927
"Anaxyrus boreas (Baird & Girard, 1852)",5,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131204105",3903003451,"Western toad",51.712897,-119.867417,0,0,-1554283.14247718,1577423.91019633
"Anaxyrus boreas (Baird & Girard, 1852)",117,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131294108",3902816682,"Western toad",51.305827,-117.518319,0,0,-1414801.11776865,1494395.38273209
"Anaxyrus boreas (Baird & Girard, 1852)",118,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131296911",3902891074,"Western toad",49.728939,-125.308002,0,0,-1969044.92895878,1455080.76789819
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131342706",3902387736,"Western toad",50.592847,-121.484437,0,0,-1691937.69296413,1478433.21801823
"Anaxyrus boreas boreas",8,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131347218",3902420961,"Western toad",50.733007,-120.522676,0,0,-1625342.96850063,1477464.50515758
"Anaxyrus boreas (Baird & Girard, 1852)",24,"US","British Columbia",2022,"https://www.inaturalist.org/observations/131374220",3902505838,"Western toad",49.914507,-124.486908,0,0,-1909125.00076625,1459074.21673375
"Anaxyrus boreas (Baird & Girard, 1852)",8,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131374510",4863655541,"Western toad",51.6533,-124.409021,0,0,-1843925.60646654,1652136.86802141
"Anaxyrus boreas (Baird & Girard, 1852)",11,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131410753",3902593156,"Western toad",53.803467,-123.055547,0,0,-1688056.70367612,1866631.40037762
